parameters_fuelbeds, Fuelbeds
consumption_ground_fuels_duff_upper_residual,C_upperduff_R
consumption_ground_fuels_duff_lower_flaming,C_lowerduff_F
consumption_ground_fuels_duff_lower_smoldering,C_lowerduff_S
consumption_ground_fuels_duff_lower_residual,C_lowerduff_R
consumption_ground_fuels_basal_accumulations_flaming,C_BA_F
consumption_ground_fuels_basal_accumulations_smoldering,C_BA_S
consumption_ground_fuels_basal_accumulations_residual,C_BA_R
consumption_ground_fuels_squirrel_middens_flaming,C_SM_F
consumption_ground_fuels_squirrel_middens_smoldering,C_SM_S
consumption_ground_fuels_squirrel_middens_residual,C_SM_R
