fuelbeds,filename,c_total,c_canopy,c_shrub,c_herb,c_wood,c_llm,c_ground,c_total_f,c_canopy_f,c_shrub_f,c_herb_f,c_wood_f,c_llm_f,c_ground_f,c_total_s,c_canopy_s,c_shrub_s,c_herb_s,c_wood_s,c_llm_s,c_ground_s,c_total_r,c_canopy_r,c_wood_r,c_llm_r,c_ground_r,ch4,co,co2,nmhc,pm,pm10,pm25,e_ch4_f,e_co_f,e_co2_f,e_nmhc_f,e_pm_f,e_pm10_f,e_pm25_f,e_ch4_s,e_co_s,e_co2_s,e_nmhc_s,e_pm_s,e_pm10_s,e_pm25_s,e_ch4_r,e_co_r,e_co2_r,e_nmhc_r,e_pm_r,e_pm10_r,e_pm25_r,c_overstory_crown,c_midstory_crown,c_understory_crown,c_snagc1f_crown,c_snagc1f_wood,c_snagc1_wood,c_snagc2_wood,c_snagc3_wood,c_ladder,c_shrub_1live,c_shrub_2live,c_herb_1live,c_herb_2live,c_piles,c_wood_1hr,c_wood_10hr,c_wood_100hr,c_wood_s1000hr,c_wood_r1000hr,c_wood_s10khr,c_wood_r10khr,c_wood_s+10khr,c_wood_r+10khr,c_stump_sound,c_stump_rotten,c_stump_lightered,c_litter,c_lichen,c_moss,c_upperduff,c_lowerduff,c_basal,c_squirrel,ch4_canopy,ch4_shrub,ch4_herb,ch4_wood,ch4_llm,ch4_ground,co_canopy,co_shrub,co_herb,co_wood,co_llm,co_ground,co2_canopy,co2_shrub,co2_herb,co2_wood,co2_llm,co2_ground,nmhc_canopy,nmhc_shrub,nmhc_herb,nmhc_wood,nmhc_llm,nmhc_ground,pm_canopy,pm_shrub,pm_herb,pm_wood,pm_llm,pm_ground,pm10_canopy,pm10_shrub,pm10_herb,pm10_wood,pm10_llm,pm10_ground,pm25_canopy,pm25_shrub,pm25_herb,pm25_wood,pm25_llm,pm25_ground,heat_total,heat_flaming,heat_smoldering,heat_residual
411,FB_0411_LF.xml,3.59,0.38,1.8,0.21,1.14,0.06,0.0,3.2,0.34,1.62,0.19,0.99,0.06,0.0,0.35,0.03,0.18,0.02,0.12,0.01,0.0,0.04,0.0,0.03,0.0,0.0,20.52,360.48,12083.41,23.68,83.87,59.09,53.83,12.49,262.52,10888.26,17.61,70.11,48.98,44.5,7.23,88.19,1075.94,5.47,12.38,9.1,8.4,0.8,9.77,119.21,0.61,1.37,1.01,0.93,0.31,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.8,0.0,0.21,0.0,0.0,0.17,0.34,0.57,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.98,10.01,1.19,6.99,0.35,0.0,36.02,177.92,21.07,119.25,6.22,0.0,1265.53,6061.33,717.95,3826.6,212.0,0.0,2.38,11.71,1.39,7.8,0.41,0.0,8.63,41.81,4.95,27.0,1.46,0.0,6.07,29.44,3.49,19.06,1.03,0.0,5.53,26.81,3.18,17.37,0.94,0.0,57493431.2,51223812.48,5644274.72,625344.0
412,FB_0412_LF.xml,5.79,0.06,3.1,0.03,1.26,0.57,0.77,4.59,0.06,2.79,0.03,1.12,0.52,0.08,1.02,0.0,0.31,0.0,0.12,0.05,0.54,0.18,0.0,0.02,0.0,0.15,26.42,782.79,19038.6,115.7,193.06,105.39,87.9,15.6,545.92,15258.28,78.91,144.97,75.69,61.93,9.21,201.62,3217.78,31.32,40.94,25.28,22.11,1.61,35.25,562.55,5.48,7.16,4.42,3.86,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.03,0.0,0.0,0.17,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.01,0.13,0.77,0.0,0.0,0.0,0.24,12.28,0.11,5.09,2.2,6.5,7.83,393.37,3.53,161.19,71.2,145.67,209.65,10261.65,92.03,4168.47,1872.17,2434.64,1.14,57.52,0.52,23.6,10.4,22.53,2.03,100.64,0.9,41.05,18.29,30.15,1.08,53.73,0.48,21.98,9.74,18.39,0.89,44.39,0.4,18.18,8.04,16.01,92639517.44,73401203.62,16375457.81,2862856.0
413,FB_0413_LF.xml,5.52,1.13,0.86,0.46,1.48,1.58,0.0,4.72,0.98,0.77,0.42,1.12,1.43,0.0,0.65,0.11,0.09,0.05,0.26,0.16,0.0,0.14,0.04,0.1,0.0,0.0,36.39,726.05,18269.97,35.71,138.86,86.73,76.24,20.77,434.27,15997.13,24.55,108.57,66.08,57.59,12.83,239.57,1866.16,9.16,24.87,16.95,15.32,2.8,52.21,406.67,2.0,5.42,3.69,3.34,1.02,0.0,0.0,0.0,0.02,0.0,0.05,0.05,0.0,0.86,0.0,0.46,0.0,0.0,0.17,0.42,0.36,0.38,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,7.26,5.07,2.75,11.94,9.37,0.0,145.27,102.27,55.37,234.07,189.07,0.0,3756.73,2856.63,1546.53,4828.77,5281.31,0.0,7.21,5.21,2.82,10.84,9.63,0.0,28.29,20.98,11.36,39.43,38.8,0.0,17.64,13.01,7.04,24.99,24.05,0.0,15.49,11.41,6.18,22.07,21.09,0.0,88280278.5,75524966.83,10473029.12,2282282.55
414,FB_0414_LF.xml,3.82,0.73,1.39,0.56,1.08,0.07,0.0,3.44,0.68,1.25,0.5,0.95,0.06,0.0,0.35,0.05,0.14,0.06,0.1,0.01,0.0,0.03,0.0,0.03,0.0,0.0,15.9,415.14,12842.17,16.06,83.27,53.59,47.48,10.33,306.4,11708.58,12.39,64.72,39.59,34.43,5.09,99.41,1036.34,3.35,16.95,12.8,11.93,0.48,9.33,97.25,0.31,1.59,1.2,1.12,0.52,0.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.39,0.0,0.56,0.0,0.0,0.17,0.34,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.0,2.79,5.78,2.31,4.72,0.29,0.0,75.05,151.0,60.43,121.03,7.63,0.0,2452.03,4669.08,1868.53,3612.31,240.22,0.0,2.93,5.84,2.34,4.65,0.3,0.0,15.24,30.28,12.12,24.08,1.54,0.0,9.69,19.49,7.8,15.62,0.99,0.0,8.55,17.27,6.91,13.88,0.87,0.0,61187849.79,55082978.02,5581116.03,523755.74
415,FB_0415_LF.xml,1.47,0.02,0.05,0.84,0.0,0.55,0.0,1.32,0.02,0.05,0.76,0.0,0.49,0.0,0.15,0.0,0.01,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.4,97.12,4966.14,5.65,29.36,29.36,15.86,2.78,81.23,4492.69,5.03,26.46,26.46,14.29,0.62,15.89,473.45,0.62,2.9,2.9,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.83,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.13,1.96,0.0,1.27,0.0,1.48,3.61,55.87,0.0,36.16,0.0,77.91,184.27,2854.52,0.0,1849.44,0.0,0.09,0.21,3.25,0.0,2.1,0.0,0.46,1.09,16.88,0.0,10.94,0.0,0.46,1.09,16.88,0.0,10.94,0.0,0.25,0.59,9.11,0.0,5.9,0.0,23490658.52,21166963.98,2323694.54,0.0
416,FB_0416_LF.xml,1.96,0.26,0.82,0.29,0.27,0.32,0.0,1.77,0.24,0.74,0.26,0.24,0.29,0.0,0.19,0.02,0.08,0.03,0.03,0.03,0.0,0.01,0.0,0.01,0.0,0.0,8.13,212.48,6582.58,8.22,42.63,27.43,24.3,5.3,157.17,6005.98,6.36,33.2,20.31,17.66,2.74,53.45,557.17,1.8,9.11,6.88,6.41,0.1,1.86,19.43,0.06,0.32,0.24,0.22,0.24,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.28,0.01,0.0,0.08,0.08,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.97,3.41,1.2,1.22,1.34,0.0,26.35,88.97,31.22,30.99,34.96,0.0,878.72,2750.9,965.4,904.53,1083.03,0.0,1.03,3.44,1.21,1.19,1.35,0.0,5.38,17.84,6.26,6.14,7.01,0.0,3.4,11.49,4.03,4.0,4.51,0.0,3.0,10.17,3.57,3.56,4.0,0.0,31360339.36,28255115.49,3000572.67,104651.2
417,FB_0417_LF.xml,0.82,0.03,0.0,0.47,0.0,0.31,0.0,0.74,0.03,0.0,0.43,0.0,0.29,0.0,0.08,0.0,0.0,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.89,53.97,2772.74,3.15,16.39,16.39,8.85,1.56,45.65,2525.02,2.83,14.87,14.87,8.03,0.33,8.31,247.72,0.33,1.52,1.52,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.02,0.07,0.0,0.0,0.0,0.0,0.07,0.0,1.1,0.0,0.72,0.0,2.05,0.0,31.31,0.0,20.6,0.0,108.01,0.0,1599.79,0.0,1064.94,0.0,0.12,0.0,1.82,0.0,1.21,0.0,0.64,0.0,9.46,0.0,6.29,0.0,0.64,0.0,9.46,0.0,6.29,0.0,0.34,0.0,5.11,0.0,3.4,0.0,13112241.02,11896428.5,1215812.51,0.0
418,FB_0418_LF.xml,1.66,0.1,0.29,0.28,0.27,0.72,0.0,1.49,0.09,0.26,0.25,0.24,0.65,0.0,0.16,0.01,0.03,0.03,0.03,0.07,0.0,0.01,0.0,0.01,0.0,0.0,9.86,198.77,5527.16,10.11,40.66,25.22,22.12,6.55,136.98,5045.78,7.74,34.24,20.84,18.16,3.18,59.4,462.73,2.27,6.17,4.2,3.8,0.13,2.39,18.65,0.09,0.25,0.17,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.28,0.0,0.0,0.08,0.08,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.01,0.02,0.0,0.0,0.0,0.0,0.53,1.7,1.65,1.73,4.26,0.0,10.73,34.38,33.22,34.55,85.9,0.0,329.91,960.27,927.92,897.47,2411.59,0.0,0.57,1.75,1.69,1.72,4.38,0.0,2.35,7.05,6.82,6.75,17.69,0.0,1.45,4.37,4.23,4.21,10.96,0.0,1.27,3.84,3.71,3.69,9.61,0.0,26523461.19,23821914.2,2596895.8,104651.2
419,FB_0419_LF.xml,3.76,0.38,1.96,0.21,1.14,0.07,0.0,3.35,0.35,1.76,0.19,0.99,0.06,0.0,0.37,0.03,0.2,0.02,0.12,0.01,0.0,0.04,0.0,0.03,0.0,0.0,22.74,457.62,12519.39,23.14,92.58,57.48,50.43,14.74,308.28,11356.06,17.42,77.07,46.91,40.88,7.23,135.04,1051.9,5.17,14.02,9.56,8.63,0.77,14.3,111.43,0.55,1.49,1.01,0.91,0.31,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.96,0.0,0.21,0.0,0.0,0.17,0.34,0.57,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,2.15,11.58,1.26,7.34,0.4,0.0,43.59,233.63,25.47,146.86,8.07,0.0,1270.72,6526.12,711.4,3784.31,226.83,0.0,2.25,11.9,1.3,7.28,0.41,0.0,9.21,47.94,5.23,28.53,1.66,0.0,5.69,29.72,3.24,17.79,1.03,0.0,4.99,26.06,2.84,15.63,0.9,0.0,60142433.6,53613738.64,5903350.96,625344.0
420,FB_0420_LF.xml,4.46,0.0,0.58,1.67,0.0,2.21,0.0,4.02,0.0,0.52,1.5,0.0,2.0,0.0,0.44,0.0,0.06,0.17,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,10.33,294.81,15088.42,17.17,89.21,89.21,48.17,8.45,247.08,13666.1,15.29,80.48,80.48,43.46,1.88,47.73,1422.32,1.88,8.73,8.73,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,1.39,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.34,3.87,0.0,5.12,0.0,0.0,38.21,110.51,0.0,146.1,0.0,0.0,1952.04,5646.31,0.0,7490.07,0.0,0.0,2.22,6.43,0.0,8.52,0.0,0.0,11.54,33.39,0.0,44.28,0.0,0.0,11.54,33.39,0.0,44.28,0.0,0.0,6.23,18.03,0.0,23.91,0.0,71367519.98,64386823.1,6980696.88,0.0
