fuelbeds,filename,c_total,c_canopy,c_shrub,c_herb,c_wood,c_llm,c_ground,c_total_f,c_canopy_f,c_shrub_f,c_herb_f,c_wood_f,c_llm_f,c_ground_f,c_total_s,c_canopy_s,c_shrub_s,c_herb_s,c_wood_s,c_llm_s,c_ground_s,c_total_r,c_canopy_r,c_wood_r,c_llm_r,c_ground_r,ch4,co,co2,nmhc,pm,pm10,pm25,e_ch4_f,e_co_f,e_co2_f,e_nmhc_f,e_pm_f,e_pm10_f,e_pm25_f,e_ch4_s,e_co_s,e_co2_s,e_nmhc_s,e_pm_s,e_pm10_s,e_pm25_s,e_ch4_r,e_co_r,e_co2_r,e_nmhc_r,e_pm_r,e_pm10_r,e_pm25_r,c_overstory_crown,c_midstory_crown,c_understory_crown,c_snagc1f_crown,c_snagc1f_wood,c_snagc1_wood,c_snagc2_wood,c_snagc3_wood,c_ladder,c_shrub_1live,c_shrub_2live,c_herb_1live,c_herb_2live,c_piles,c_wood_1hr,c_wood_10hr,c_wood_100hr,c_wood_s1000hr,c_wood_r1000hr,c_wood_s10khr,c_wood_r10khr,c_wood_s+10khr,c_wood_r+10khr,c_stump_sound,c_stump_rotten,c_stump_lightered,c_litter,c_lichen,c_moss,c_upperduff,c_lowerduff,c_basal,c_squirrel,ch4_canopy,ch4_shrub,ch4_herb,ch4_wood,ch4_llm,ch4_ground,co_canopy,co_shrub,co_herb,co_wood,co_llm,co_ground,co2_canopy,co2_shrub,co2_herb,co2_wood,co2_llm,co2_ground,nmhc_canopy,nmhc_shrub,nmhc_herb,nmhc_wood,nmhc_llm,nmhc_ground,pm_canopy,pm_shrub,pm_herb,pm_wood,pm_llm,pm_ground,pm10_canopy,pm10_shrub,pm10_herb,pm10_wood,pm10_llm,pm10_ground,pm25_canopy,pm25_shrub,pm25_herb,pm25_wood,pm25_llm,pm25_ground,heat_total,heat_flaming,heat_smoldering,heat_residual
0,FB_0000_FCCS.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FB_0001_FCCS.xml,27.08,4.83,2.51,0.19,9.55,0.98,9.03,12.52,4.43,2.26,0.17,3.87,0.89,0.9,9.22,0.34,0.25,0.02,2.2,0.09,6.32,5.34,0.05,3.47,0.0,1.81,340.42,6480.0,83934.06,268.91,841.15,552.33,493.4,55.09,1151.82,42429.58,65.1,287.96,175.28,152.74,180.75,3375.15,26291.09,129.1,350.42,238.84,215.79,104.59,1953.03,15213.39,74.71,202.77,138.21,124.87,3.11,1.48,0.09,0.0,0.01,0.0,0.01,0.12,0.0,2.51,0.0,0.19,0.0,0.0,0.17,0.68,2.49,0.2,2.22,0.12,2.08,0.0,1.57,0.0,0.01,0.0,0.79,0.0,0.18,9.03,0.0,0.0,0.0,27.27,14.84,1.1,128.24,5.65,163.33,552.84,299.21,22.15,2432.75,114.27,3058.78,16153.72,8357.89,618.61,29295.68,3267.36,26240.8,28.6,15.24,1.13,99.56,5.87,118.52,117.02,61.4,4.54,304.64,23.83,329.73,72.33,38.07,2.82,201.15,14.75,223.22,63.36,33.38,2.47,180.0,12.93,201.27,433242585.3,200316678.91,147547346.37,85378560.02
2,FB_0002_FCCS.xml,32.54,5.04,3.12,0.15,12.94,0.97,10.32,15.17,3.7,2.8,0.13,6.62,0.87,1.03,11.43,0.78,0.31,0.01,3.01,0.09,7.23,5.93,0.56,3.31,0.0,2.06,299.08,6300.07,103199.01,221.35,1129.3,811.87,745.69,45.52,1350.31,51599.92,54.62,285.23,174.48,151.72,166.93,3258.49,33968.3,109.76,555.66,419.6,391.02,86.64,1691.27,17630.79,56.97,288.41,217.79,202.95,2.17,1.2,0.06,0.01,0.0,0.23,0.64,0.64,0.08,1.55,1.57,0.14,0.01,0.0,0.85,1.69,2.85,1.16,0.81,1.05,1.7,1.4,1.38,0.0,0.05,0.0,0.9,0.0,0.07,10.32,0.0,0.0,0.0,30.7,12.97,0.62,112.06,3.98,138.77,711.9,338.47,16.11,2389.04,104.35,2740.2,16578.84,10465.66,498.27,41287.95,3249.35,31118.95,26.21,13.09,0.62,84.46,4.04,92.92,134.81,67.88,3.23,431.39,20.96,471.02,91.82,43.7,2.08,307.9,13.47,352.9,82.91,38.71,1.84,282.18,11.93,328.12,520633083.93,242751755.53,182932596.34,94948732.07
3,FB_0003_FCCS.xml,33.72,1.91,1.42,0.29,17.24,1.37,11.49,16.1,1.53,1.28,0.26,10.65,1.24,1.15,11.89,0.24,0.14,0.03,3.3,0.14,8.04,5.73,0.14,3.29,0.0,2.3,304.06,6338.11,107180.27,225.66,1157.55,833.09,762.99,48.62,1392.39,54793.27,57.92,311.89,194.68,168.85,172.68,3350.35,35340.91,113.43,572.47,432.2,402.37,82.77,1595.38,17046.08,54.31,273.2,206.21,191.77,1.37,0.0,0.11,0.0,0.0,0.0,0.11,0.23,0.08,1.42,0.0,0.28,0.01,1.6,2.12,2.96,2.57,3.51,1.18,0.0,0.0,0.0,0.0,0.0,3.31,0.0,1.37,0.0,0.0,11.49,0.0,0.0,0.0,10.09,5.91,1.2,126.78,5.71,154.38,243.53,154.19,31.22,2711.52,149.03,3048.62,6318.85,4767.82,965.4,55897.03,4609.71,34621.46,9.12,5.96,1.21,100.22,5.76,103.38,47.07,30.92,6.26,519.37,29.89,524.03,31.42,19.91,4.03,365.87,19.24,392.62,28.18,17.63,3.57,331.5,17.04,365.05,539443745.64,257626237.96,190171152.79,91646354.88
4,FB_0004_FCCS.xml,31.17,0.61,4.54,0.56,21.43,1.45,2.58,12.07,0.57,4.09,0.5,5.34,1.3,0.26,8.27,0.04,0.45,0.06,5.77,0.14,1.8,10.83,0.0,10.31,0.0,0.52,314.93,6506.82,97792.26,226.67,1154.24,839.2,773.33,36.23,1070.2,41041.77,43.44,227.17,139.18,121.03,120.66,2353.5,24572.27,79.33,401.33,303.04,282.37,158.04,3083.11,32178.21,103.9,525.74,396.99,369.93,0.56,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.39,0.46,0.09,0.15,0.17,0.25,2.71,0.0,7.35,0.0,3.01,0.0,1.17,0.0,6.62,0.0,1.45,0.0,0.0,2.58,0.0,0.0,0.0,2.28,18.9,2.31,250.77,6.03,34.64,61.77,493.31,60.43,5049.75,157.47,684.1,2054.09,15253.54,1868.53,65978.18,4869.03,7768.89,2.42,19.08,2.34,173.54,6.09,23.2,12.6,98.93,12.12,881.42,31.58,117.59,7.98,63.69,7.8,651.31,20.33,88.1,7.02,56.42,6.91,603.05,18.01,81.92,498662742.89,193067313.2,132317232.77,173278196.93
5,FB_0005_FCCS.xml,24.62,3.69,2.66,0.19,11.02,3.3,3.76,15.56,3.36,2.39,0.18,6.29,2.97,0.38,6.32,0.27,0.27,0.02,2.79,0.33,2.63,2.75,0.05,1.94,0.0,0.75,179.03,3968.38,79845.82,143.04,733.08,511.63,465.63,46.67,1384.62,52911.27,56.01,292.48,178.91,155.58,92.2,1799.85,18762.65,60.63,306.92,231.77,215.98,40.16,783.91,8171.9,26.41,133.68,100.95,94.07,2.11,1.08,0.25,0.01,0.0,0.03,0.05,0.07,0.08,2.66,0.0,0.19,0.01,0.0,0.42,1.36,2.35,2.13,0.52,2.65,0.73,0.67,0.17,0.0,0.02,0.0,3.3,0.0,0.0,3.76,0.0,0.0,0.0,14.88,11.06,0.81,88.0,13.71,50.57,392.59,288.85,21.15,1909.27,357.88,998.64,12393.77,8931.62,653.98,35459.58,11065.93,11340.95,15.24,11.17,0.82,68.1,13.84,33.86,79.11,57.93,4.24,348.37,71.77,171.66,50.69,37.29,2.73,246.11,46.2,128.61,44.83,33.03,2.42,224.84,40.93,119.58,393974129.25,248921009.96,101044220.38,44008898.91
6,FB_0006_FCCS.xml,10.59,2.88,2.55,0.65,3.55,0.78,0.18,7.61,2.1,2.29,0.58,1.91,0.7,0.02,1.87,0.45,0.25,0.06,0.9,0.08,0.12,1.1,0.33,0.74,0.0,0.04,91.4,1777.32,34284.76,80.83,287.42,183.36,162.22,33.38,696.67,25790.76,39.43,174.92,106.66,92.94,36.53,680.71,5340.54,26.07,70.83,48.29,43.62,21.49,399.94,3153.46,15.33,41.68,28.42,25.66,0.9,1.11,0.02,0.0,0.0,0.07,0.0,0.78,0.0,2.55,0.0,0.56,0.09,0.12,0.08,0.34,0.57,1.04,0.22,0.53,0.35,0.0,0.21,0.02,0.06,0.0,0.76,0.0,0.02,0.18,0.0,0.0,0.0,24.48,15.09,3.84,40.22,4.58,3.19,477.81,304.42,77.51,765.53,92.37,59.68,9341.95,8503.45,2165.15,11174.18,2588.05,511.99,21.81,15.5,3.95,32.55,4.71,2.31,77.89,62.47,15.9,105.73,18.99,6.43,49.56,38.73,9.86,69.08,11.77,4.36,43.84,33.96,8.65,61.53,10.32,3.93,169365596.67,121745924.89,29946848.72,17672823.06
7,FB_0007_FCCS.xml,28.84,3.86,0.87,0.02,17.98,0.76,5.35,11.91,3.46,0.78,0.02,6.42,0.69,0.54,8.66,0.33,0.09,0.0,4.42,0.07,3.75,8.28,0.07,7.13,0.0,1.07,282.96,5882.6,90818.5,205.41,1046.66,758.32,698.11,35.73,1058.16,40494.89,42.86,223.97,137.09,119.21,126.39,2466.52,25727.83,83.1,420.6,317.61,295.96,120.83,2357.93,24595.77,79.45,402.09,303.62,282.93,1.84,1.26,0.07,0.0,0.0,0.0,0.0,0.18,0.51,0.87,0.0,0.02,0.0,0.06,0.85,2.71,1.35,0.35,4.0,0.24,3.1,0.39,4.93,0.0,0.0,0.0,0.72,0.0,0.05,5.35,0.0,0.0,0.0,16.22,3.6,0.08,187.99,3.15,71.92,422.04,93.98,2.01,3861.92,82.48,1420.18,12964.68,2905.81,62.28,56192.12,2565.4,16128.21,16.3,3.63,0.08,134.04,3.19,48.16,84.52,18.85,0.4,682.21,16.56,244.12,54.48,12.13,0.26,497.9,10.65,182.9,48.29,10.75,0.23,459.35,9.43,170.06,461503559.12,190502635.5,138548753.15,132452170.46
8,FB_0008_FCCS.xml,53.53,3.76,1.69,0.02,26.9,2.0,19.16,19.89,3.04,1.52,0.02,11.6,1.8,1.92,21.99,0.45,0.17,0.0,7.76,0.2,13.41,11.65,0.27,7.55,0.0,3.83,550.77,11356.77,167583.92,394.52,2008.7,1463.22,1349.29,59.67,1770.29,67649.05,71.61,373.95,228.75,198.91,321.02,6266.56,65326.09,211.08,1068.61,806.96,751.99,170.07,3319.93,34608.78,111.83,566.13,427.51,398.39,1.05,1.7,0.06,0.02,0.0,0.33,0.22,0.29,0.08,1.11,0.58,0.01,0.01,0.0,0.85,1.69,2.85,5.05,1.49,6.06,5.25,2.02,1.59,0.0,0.05,0.0,1.93,0.0,0.07,19.16,0.0,0.0,0.0,19.7,7.01,0.08,258.24,8.28,257.46,476.99,183.02,2.01,5394.11,216.48,5084.16,12487.1,5659.22,62.28,84921.21,6716.1,57738.02,17.9,7.08,0.08,188.68,8.38,172.41,92.35,36.71,0.4,961.87,43.45,873.92,61.54,23.63,0.26,695.07,27.95,654.77,55.17,20.93,0.23,639.41,24.75,608.8,856443313.96,318254847.08,351806596.61,186381870.28
9,FB_0009_FCCS.xml,37.72,2.4,1.74,0.14,26.26,1.02,6.14,13.44,1.83,1.57,0.13,8.38,0.93,0.61,11.99,0.35,0.17,0.01,7.06,0.1,4.3,12.29,0.23,10.83,0.0,1.23,394.74,8113.23,117836.11,281.42,1432.37,1045.42,964.57,40.32,1195.51,45709.1,48.38,252.72,154.63,134.46,175.04,3416.57,35622.63,115.09,582.61,439.95,409.98,179.37,3501.15,36504.37,117.94,597.04,450.85,420.13,1.31,0.0,0.43,0.0,0.0,0.0,0.23,0.34,0.08,1.74,0.0,0.14,0.0,0.02,1.27,2.2,1.78,1.19,4.01,1.32,4.8,1.66,7.27,0.0,0.74,0.0,0.93,0.0,0.09,6.14,0.0,0.0,0.0,13.89,7.26,0.58,286.27,4.21,82.54,326.71,189.48,15.11,5841.74,110.29,1629.9,7927.02,5858.89,467.13,81632.63,3440.52,18509.91,12.11,7.33,0.58,201.86,4.27,55.27,62.34,38.0,3.03,1026.68,22.16,280.17,42.14,24.46,1.95,752.72,14.24,209.91,37.96,21.67,1.73,695.43,12.6,195.17,603463562.09,215036094.81,191839479.12,196587988.16
10,FB_0010_FCCS.xml,57.41,4.49,1.56,0.32,25.82,1.99,23.24,19.59,4.14,1.4,0.29,9.63,1.8,2.32,25.32,0.31,0.16,0.03,8.37,0.19,16.27,12.5,0.04,7.81,0.0,4.65,610.99,12522.94,178984.52,433.62,2206.45,1613.37,1489.43,58.76,1743.08,66609.22,70.51,368.2,225.23,195.85,369.73,7217.25,75236.69,243.11,1230.73,929.38,866.07,182.51,3562.61,37138.61,120.0,607.52,458.76,427.51,1.88,2.27,0.12,0.01,0.0,0.05,0.03,0.04,0.08,0.85,0.71,0.28,0.05,0.0,1.1,0.85,0.71,2.64,1.49,11.08,5.25,1.06,1.59,0.0,0.05,0.0,1.85,0.0,0.14,23.24,0.0,0.0,0.0,17.46,6.47,1.35,265.21,8.19,312.3,466.91,168.95,35.25,5470.19,214.59,6167.05,15114.1,5224.08,1089.97,80840.02,6680.63,70035.72,18.22,6.53,1.36,190.06,8.31,209.13,94.63,33.88,7.07,967.7,43.1,1060.06,60.29,21.81,4.55,704.79,27.7,794.23,53.21,19.32,4.03,649.88,24.53,738.47,918548037.84,313362996.2,405179090.36,200005951.27
11,FB_0011_FCCS.xml,28.14,2.77,0.96,0.23,18.63,1.68,3.87,13.25,2.08,0.86,0.21,8.2,1.52,0.39,8.12,0.42,0.1,0.02,4.71,0.16,2.71,6.77,0.28,5.72,0.0,0.77,257.11,5421.41,89310.34,190.62,972.62,698.74,641.63,39.77,1179.26,45079.45,47.72,249.22,152.47,132.59,118.49,2312.77,24113.78,77.91,394.39,297.82,277.53,98.85,1929.38,20117.12,65.0,329.01,248.45,231.52,1.95,0.0,0.03,0.0,0.0,0.0,0.01,0.69,0.08,0.25,0.71,0.19,0.05,0.02,0.85,1.69,2.85,2.46,3.45,1.48,2.42,0.98,1.47,0.0,0.96,0.0,1.54,0.0,0.13,3.87,0.0,0.0,0.0,16.4,3.99,0.96,176.86,6.9,52.0,383.21,104.23,25.18,3701.2,180.8,1026.78,9127.71,3223.01,778.55,58886.16,5634.35,11660.56,14.16,4.03,0.97,129.64,7.0,34.82,72.87,20.9,5.05,660.98,36.32,176.49,49.43,13.46,3.25,477.02,23.34,132.24,44.57,11.92,2.88,438.64,20.67,122.95,450272333.87,212074707.0,129860602.69,108337024.18
12,FB_0012_FCCS.xml,21.18,3.33,0.03,0.06,9.95,2.14,5.67,8.35,2.63,0.03,0.05,3.15,1.93,0.57,7.64,0.43,0.0,0.01,3.02,0.21,3.96,5.19,0.27,3.78,0.0,1.14,212.3,4398.51,66510.46,153.19,780.33,566.73,522.14,25.06,743.39,28407.35,30.07,157.03,96.06,83.53,111.52,2176.87,22692.91,73.33,371.21,280.32,261.22,75.73,1478.26,15410.2,49.79,252.08,190.36,177.39,2.58,0.0,0.02,0.02,0.0,0.07,0.52,0.12,0.01,0.03,0.0,0.05,0.01,0.0,0.25,0.51,0.78,0.39,0.43,1.76,2.17,1.82,1.83,0.0,0.0,0.0,2.14,0.0,0.01,5.65,0.0,0.02,0.0,18.11,0.12,0.23,108.73,8.91,76.19,433.54,3.19,6.04,2218.53,232.69,1504.52,11014.23,98.53,186.85,30927.3,7197.55,17086.0,16.18,0.12,0.23,76.63,9.0,51.02,83.44,0.64,1.21,389.75,46.67,258.61,55.93,0.41,0.78,285.81,30.04,193.76,50.24,0.36,0.69,264.08,26.61,180.16,338842553.25,133642355.06,122210214.75,82989983.44
13,FB_0013_FCCS.xml,26.73,1.83,1.17,0.19,14.81,0.23,8.51,8.98,0.89,1.05,0.17,6.2,0.21,0.47,9.03,0.49,0.12,0.02,4.34,0.02,4.04,8.72,0.45,4.27,0.0,4.0,286.06,5857.53,83283.43,202.72,1031.42,754.64,696.79,26.95,799.64,30557.21,32.35,168.91,103.32,89.85,131.77,2572.13,26813.34,86.64,438.62,331.22,308.66,127.34,2485.75,25912.88,83.73,423.89,320.1,298.29,0.62,0.0,0.07,0.0,0.0,0.02,0.74,0.37,0.01,0.6,0.58,0.19,0.0,0.0,0.34,0.51,0.71,5.63,2.41,1.04,0.56,1.21,2.39,0.0,0.0,0.0,0.2,0.0,0.02,4.67,3.83,0.0,0.0,16.37,4.88,0.77,144.33,0.93,118.78,346.72,127.27,20.14,3006.1,24.43,2332.86,5819.34,3935.38,622.84,46668.37,762.92,25474.57,12.22,4.92,0.78,104.99,0.95,78.86,62.35,25.52,4.04,535.08,4.91,399.51,44.68,16.43,2.6,387.35,3.15,300.43,41.0,14.56,2.3,356.52,2.79,279.63,427707719.44,143756357.25,144400344.24,139551017.95
14,FB_0014_FCCS.xml,6.64,3.14,0.29,0.09,1.68,1.18,0.25,5.74,2.95,0.26,0.08,1.37,1.06,0.03,0.77,0.2,0.03,0.01,0.24,0.12,0.18,0.12,0.0,0.07,0.0,0.05,42.77,855.08,22012.23,42.36,166.03,103.53,90.96,25.28,528.5,19468.25,29.87,132.12,80.42,70.08,15.07,281.38,2191.85,10.76,29.21,19.91,17.99,2.42,45.21,352.14,1.73,4.69,3.2,2.89,3.14,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.09,0.0,0.0,0.21,0.42,0.64,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.25,0.0,0.0,0.0,16.81,1.7,0.55,12.16,6.97,4.58,342.88,34.31,11.07,240.48,140.53,85.81,10543.28,958.38,309.31,5539.65,3925.42,736.19,18.07,1.75,0.56,11.5,7.16,3.33,75.22,7.04,2.27,43.42,28.84,9.25,46.33,4.36,1.41,27.29,17.88,6.26,40.53,3.83,1.24,24.04,15.68,5.65,106189667.52,91912652.64,12300787.68,1976227.2
15,FB_0015_FCCS.xml,51.04,2.73,4.92,0.05,7.19,1.6,34.56,11.25,2.25,4.42,0.04,2.6,1.44,0.49,12.62,0.31,0.49,0.0,2.31,0.16,9.35,27.17,0.17,2.29,0.0,24.72,614.73,12342.21,156485.45,422.51,2145.43,1589.77,1473.42,33.75,1001.24,38260.78,40.5,211.5,129.37,112.5,184.3,3597.69,37504.36,121.19,613.5,463.28,431.72,396.67,7743.28,80720.31,260.83,1320.43,997.12,929.19,2.24,0.0,0.07,0.0,0.0,0.01,0.29,0.11,0.0,4.88,0.04,0.04,0.01,0.0,0.07,0.59,0.16,1.02,0.39,1.76,1.1,1.4,0.67,0.01,0.01,0.0,1.6,0.0,0.0,4.86,29.66,0.03,0.0,13.71,20.45,0.19,74.88,6.67,498.82,336.21,533.8,5.04,1540.8,174.16,9752.21,9080.47,16505.56,155.71,22484.95,5385.1,102873.65,12.68,20.64,0.19,53.46,6.74,328.79,65.5,107.06,1.01,272.16,34.93,1664.78,43.38,68.91,0.65,198.51,22.48,1255.83,38.81,61.05,0.58,183.13,19.92,1169.93,816683987.82,179997795.04,201975680.87,434710511.91
16,FB_0016_FCCS.xml,14.21,1.81,1.93,0.19,5.33,1.71,3.25,8.34,1.47,1.74,0.17,3.1,1.54,0.33,3.98,0.21,0.19,0.02,1.11,0.17,2.28,1.89,0.13,1.11,0.0,0.65,110.8,2416.67,45814.03,86.42,442.31,311.53,284.33,25.01,742.07,28357.11,30.02,156.75,95.89,83.38,58.14,1134.91,11830.91,38.23,193.53,146.14,136.19,27.65,539.69,5626.01,18.18,92.03,69.5,64.76,0.58,0.71,0.1,0.01,0.0,0.19,0.23,0.0,0.0,1.93,0.0,0.09,0.09,0.0,0.25,1.19,1.28,0.38,0.43,0.7,1.09,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,3.25,0.0,0.0,0.0,9.4,8.03,0.77,41.78,7.11,43.72,228.09,209.7,20.14,909.92,185.55,863.27,6008.36,6484.04,622.84,17157.74,5737.36,9803.69,8.57,8.11,0.78,32.52,7.18,29.27,44.21,42.06,4.04,166.4,37.21,148.39,29.43,27.07,2.6,117.29,23.95,111.18,26.37,23.98,2.3,107.08,21.22,103.37,227418351.71,133406001.0,63714103.28,30298247.43
17,FB_0017_FCCS.xml,34.51,4.97,0.0,0.06,7.34,2.74,19.4,13.91,3.96,0.0,0.05,5.49,2.47,1.94,15.59,0.63,0.0,0.01,1.11,0.27,13.57,5.01,0.38,0.74,0.0,3.89,342.48,7108.78,108501.5,247.83,1262.62,915.96,843.6,41.72,1237.75,47298.56,50.07,261.46,159.93,139.07,227.62,4443.25,46318.92,149.67,757.69,572.17,533.19,73.14,1427.78,14884.01,48.09,243.47,183.86,171.33,3.94,0.0,0.06,0.0,0.0,0.02,0.76,0.18,0.0,0.0,0.0,0.06,0.0,0.0,0.76,2.63,2.14,0.49,0.53,0.29,0.3,0.2,0.0,0.0,0.0,0.0,2.72,0.0,0.02,19.37,0.0,0.03,0.0,26.66,0.0,0.23,43.45,11.38,260.76,640.95,0.0,6.04,1015.34,297.29,5149.16,16469.0,0.0,186.85,24169.1,9200.36,58476.18,23.97,0.0,0.23,37.51,11.5,174.61,123.64,0.0,1.21,193.04,59.63,885.1,82.69,0.0,0.78,130.96,38.38,663.14,74.22,0.0,0.69,118.11,34.0,616.58,552117829.19,222516026.0,249445564.88,80156238.31
18,FB_0018_FCCS.xml,10.38,1.74,0.35,0.16,5.5,0.41,2.22,4.84,1.44,0.32,0.14,2.35,0.37,0.22,3.5,0.2,0.04,0.02,1.66,0.04,1.55,2.03,0.11,1.48,0.0,0.44,95.36,2008.76,32905.23,70.58,360.07,258.86,237.76,14.51,430.56,16453.23,17.42,90.95,55.63,48.38,51.16,998.76,10411.64,33.64,170.32,128.61,119.85,29.68,579.44,6040.36,19.52,98.81,74.62,69.53,0.13,1.08,0.06,0.03,0.0,0.15,0.02,0.18,0.08,0.3,0.06,0.09,0.06,0.0,0.34,0.68,0.14,0.7,0.48,1.02,0.3,1.59,0.0,0.01,0.23,0.0,0.39,0.0,0.01,2.22,0.0,0.0,0.0,8.82,1.47,0.66,52.95,1.68,29.78,215.83,38.42,17.12,1105.21,44.04,588.15,5799.44,1187.92,529.42,17342.78,1366.41,6679.27,8.13,1.49,0.66,38.65,1.7,19.94,42.0,7.7,3.43,197.0,8.84,101.1,27.85,4.96,2.21,142.41,5.69,75.75,24.92,4.39,1.96,131.02,5.03,70.43,166004698.35,77404188.41,56070789.4,32529720.55
19,FB_0019_FCCS.xml,33.59,6.83,0.08,0.01,17.2,1.99,7.49,12.43,3.67,0.07,0.01,6.15,1.79,0.75,12.2,1.67,0.01,0.0,5.08,0.2,5.24,8.96,1.49,5.97,0.0,1.5,346.04,7123.38,105156.97,247.72,1260.95,918.83,847.24,37.34,1101.92,42290.45,44.76,234.15,143.5,124.79,178.0,3472.31,36245.01,117.03,592.11,447.1,416.62,130.71,2549.15,26621.51,85.93,434.69,328.22,305.84,0.93,1.39,0.79,0.0,0.0,0.0,0.0,3.72,0.0,0.08,0.0,0.01,0.0,0.18,0.42,1.27,2.14,0.37,0.65,1.76,1.64,5.59,3.18,0.0,0.0,0.0,1.99,0.0,0.0,7.48,0.0,0.0,0.0,57.12,0.31,0.04,179.67,8.27,100.62,1226.87,8.21,1.01,3684.36,216.01,1986.92,21870.1,253.86,31.14,53758.27,6679.19,22564.4,43.54,0.32,0.04,128.09,8.35,67.38,222.52,1.65,0.2,651.73,43.32,341.54,158.13,1.06,0.13,475.73,27.89,255.89,144.73,0.94,0.12,438.84,24.7,237.92,537463864.57,198938273.58,195175970.12,143349620.87
20,FB_0020_FCCS.xml,8.08,1.11,1.5,0.32,3.71,0.21,1.22,3.87,1.02,1.35,0.29,0.9,0.19,0.12,2.16,0.1,0.15,0.03,1.01,0.02,0.84,2.05,0.0,1.79,0.0,0.26,101.38,1369.58,26000.78,86.52,232.49,167.81,153.97,15.1,317.39,13164.06,21.29,84.77,59.22,53.8,44.25,539.67,6583.94,33.46,75.77,55.69,51.38,42.03,512.52,6252.79,31.78,71.96,52.89,48.79,0.24,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.51,1.49,0.01,0.05,0.28,0.0,0.04,0.08,0.36,0.33,0.0,0.0,1.31,0.0,1.59,0.0,0.0,0.0,0.2,0.0,0.0,1.2,0.02,0.0,0.0,5.94,8.34,1.8,61.09,1.15,23.06,107.51,148.12,32.07,776.11,20.47,285.3,3753.71,5046.27,1092.54,11641.01,698.52,3768.73,7.09,9.75,2.11,48.5,1.35,17.74,25.66,34.81,7.54,118.37,4.82,41.3,18.05,24.51,5.31,86.28,3.39,30.26,16.43,22.32,4.83,79.4,3.09,27.89,129270482.6,61930288.99,34538683.88,32801509.72
21,FB_0021_FCCS.xml,8.66,0.92,0.0,0.02,6.01,0.42,1.29,4.97,0.26,0.0,0.02,4.18,0.38,0.13,2.52,0.33,0.0,0.0,1.24,0.04,0.9,1.17,0.33,0.59,0.0,0.26,68.77,1491.89,27855.44,53.29,272.58,192.47,175.79,14.9,441.16,16887.08,17.87,93.41,57.18,49.72,36.76,717.27,7484.77,24.17,122.31,92.36,86.06,17.1,333.45,3483.58,11.24,56.86,42.93,40.0,0.1,0.0,0.0,0.0,0.0,0.0,0.25,0.57,0.0,0.0,0.0,0.02,0.0,0.03,0.17,0.85,1.78,2.69,0.32,0.1,0.06,0.0,0.0,0.0,0.01,0.0,0.42,0.0,0.0,1.29,0.0,0.0,0.0,10.4,0.01,0.08,39.25,1.74,17.29,210.95,0.24,2.01,891.9,45.31,341.48,2838.61,7.35,62.28,19667.63,1401.58,3877.97,7.26,0.01,0.08,32.61,1.75,11.58,36.91,0.05,0.4,167.43,9.09,58.7,27.17,0.03,0.26,115.18,5.85,43.98,25.14,0.03,0.23,104.32,5.18,40.89,138505897.06,79442570.13,40305664.72,18757662.2
