GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=10/29/2012
fuelbed_number,site_name,site_description,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,Total_aboveground_fuel_loading,efg_natural,efg_activity
12.000000,,,112,260.000000,16.115587,0.000000,0.094356,0.111162,0.000000,7.143686,10.368830,1.172307,0.029341,0.000000,75.000000,0.000000,0.050000,0.010000,75.000000,55.000000,0.300000,0.600000,1.100000,0.600000,4.500000,7.000000,0.500000,3.600000,5.000000,0.000000,0.004633,0.000000,1.300000,3.276325,0.000000,0.000000,0.400000,0.012000,0.044539,0.000000,0.040000,0.600000,12.672002,0.800000,6.144000,298.139557,8,1
13.000000,,,112,240.000000,3.889821,0.000000,0.370870,0.019886,0.000000,2.480877,14.743497,3.685874,0.595478,0.576465,90.000000,95.000000,0.200000,0.000000,85.000000,0.000000,0.400000,0.600000,1.000000,13.000001,4.000000,7.000000,3.000000,1.000000,7.000000,0.000000,0.000000,0.000000,0.200000,0.437124,0.200000,0.005000,0.300000,0.045000,0.000000,0.000000,0.040000,0.800000,12.848001,0.800000,4.672000,89.283005,8,1
14.000000,,,153,260.000000,19.601997,0.000000,0.032670,0.000000,0.000000,0.000000,0.000000,0.000000,0.287354,0.000000,75.000000,0.000000,0.100000,0.000000,80.000000,0.000000,0.250000,0.500000,0.900000,1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,1.867500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.720000,0.400000,1.920000,137.847885,9,9
15.000000,,,154,260.000000,13.972305,0.000000,0.402696,0.008496,0.000000,1.175152,5.881061,1.148645,6.364981,0.048180,90.000000,90.000000,0.040000,0.010000,60.000000,75.000000,0.080000,0.700000,0.230000,1.750000,5.000000,6.000000,0.500000,2.000000,2.000000,0.103907,0.016540,0.000000,1.100000,2.494624,0.000000,0.000000,0.000000,0.000000,0.053305,0.000000,0.000000,3.700000,50.616001,0.800000,4.864000,213.388840,8,3
16.000000,,,150,240.000000,3.600887,4.168561,0.564067,0.043693,0.000000,18.784109,4.574159,0.000000,1.930923,0.000000,80.000000,0.000000,0.100000,0.100000,70.000000,70.000000,0.300000,1.400000,1.800000,0.800000,2.500000,0.000000,0.700000,2.500000,0.000000,0.000000,0.000000,0.000000,1.000000,2.648800,0.000000,0.000000,0.000000,0.000000,0.008002,0.000000,0.000000,0.500000,7.920001,0.500000,3.520000,256.471405,8,4
17.000000,,,114,260.000000,24.652784,0.000000,0.321995,0.022089,0.000000,2.121802,15.219543,1.823588,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,70.000000,0.000000,0.900000,3.100000,3.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.000000,0.000000,0.000000,0.000000,1.600000,4.128000,0.000000,0.000000,0.500000,0.037500,0.046254,0.000000,0.000000,2.600000,40.716000,2.000000,13.920001,257.033356,8,4
18.000000,,,118,240.000000,0.804989,6.359411,0.350386,0.203306,0.000000,15.281102,0.432095,1.793846,0.298151,0.055606,75.000000,95.000000,0.100000,0.070000,65.000000,65.000000,0.400000,0.800000,0.200000,1.100000,2.700000,6.300000,0.900000,0.800000,0.000000,0.107828,0.459454,0.000000,0.300000,0.714000,0.100000,0.003500,0.100000,0.023250,0.000042,0.000000,0.500000,0.600000,9.180000,0.200000,1.360000,122.613472,8,1
19.000000,,,119,260.000000,5.807240,8.204849,4.377126,0.000000,0.000000,0.000000,0.000000,37.179337,0.075600,0.000000,90.000000,0.000000,0.010000,0.000000,60.000000,0.000000,0.500000,1.500000,3.000000,0.500000,4.000000,19.000000,0.700000,2.500000,8.000000,0.000000,0.000000,0.000000,1.200000,3.061020,0.000000,0.000000,0.000000,0.000000,0.004307,0.000000,0.000000,1.400000,21.419998,0.700000,4.760000,483.268066,8,4
20.000000,,,145,260.000000,1.509354,2.130345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.486319,0.012915,70.000000,90.000000,0.050000,0.300000,80.000000,80.000000,0.050000,0.100000,0.500000,1.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,0.000000,0.000000,0.500000,0.436500,0.100000,0.001500,0.100000,0.007500,0.000000,0.000000,3.000000,0.500000,2.700000,0.500000,1.200000,42.731308,5,5
21.000000,,,125,240.000000,0.632491,0.000000,0.000000,0.000152,0.000000,0.081711,4.918561,5.700468,0.002190,0.000000,99.000000,0.000000,0.020000,0.000000,70.000000,0.000000,0.200000,1.000000,2.500000,8.000000,0.500000,0.000000,0.700000,0.200000,0.000000,0.005635,0.018378,0.000000,0.500000,0.748250,0.100000,0.000500,0.200000,0.003000,0.000788,0.000000,0.000000,0.500000,4.500000,0.500000,2.000000,31.975611,8,3
