GeneratorName=FCCS 4.0,GeneratorVersion=3.0.0,DateCreated=04/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuelbed_number,FCCSID,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
860133,86_133,FB_0086_FCCS_133.xml,109,130,0.232872,0,0.001455,0,0,0,0,1.878541,0.463132,1.749237,90,90,0.02,0.02,80,75,0.066,0.099,0.33,0.28125,0,0,0.96875,0,0,0.020653,0.00075,0,0.5,0.075,2,0.1,2.5,3.1875,0,1E-06,0,0.1,0.054,0.2,0.076,0.004462,0,0,9.918951,8,8
860211,86_211,FB_0086_FCCS_211.xml,109,130,0.808582,0,0.008086,0,0.171137,0,0.221437,0.200378,0.347349,1.311928,45,45,0.015,0.015,60,56.25,0.5,1,1.25,1.5,0,0,1,0,0,0.192763,0.012007,0,0.625,0.117188,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,65.058975,8,8
860212,86_212,FB_0086_FCCS_212.xml,109,130,0.808582,0,0.008086,0,0.171137,0,0.221437,0.200378,0.382084,1.443121,90,90,0.01875,0.01875,79.980003,74.981247,0.375,0.75,0.9375,1.125,0,0,1.375,0,0,0.192763,0.012007,0,0.625,0.117188,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.544899,8,8
860213,86_213,FB_0086_FCCS_213.xml,109,130,0.808582,0,0.008086,0,0.171137,0,0.221437,0.200378,0.420292,1.587433,90,90,0.023438,0.023438,79.980003,74.981247,0.1875,0.375,0.46875,1.125,0,0,1.9375,0,0,0,0.124073,0,0.625,0.117188,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.380112,8,8
860221,86_221,FB_0086_FCCS_221.xml,109,130,0.517493,0,0,0,0.171137,0,0.221437,0.200378,0.231566,0.874619,22.5,22.5,0.01,0.01,40,37.5,1,2,1.5,1.5,0,0,1,0,0,0.364873,0.012007,0,0.75,0.16875,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,65.978279,8,8
860222,86_222,FB_0086_FCCS_222.xml,109,130,0.517493,0,0,0,0.171137,0,0.221437,0.200378,0.289457,1.093273,90,90,0.015,0.015,80,75,0.75,1.5,1.125,1.125,0,0,1.375,0,0,0.364873,0.012007,0,0.75,0.16875,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,65.139824,8,8
860223,86_223,FB_0086_FCCS_223.xml,109,130,0.517493,0,0,0,0.171137,0,0.221437,0.200378,0.361822,1.366591,90,90,0.0225,0.0225,80,75,0.375,0.75,0.5625,1.125,0,0,1.9375,0,0,0,0.224132,0,0.75,0.16875,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4.8,38.400002,0.017849,0,0,72.587631,8,8
860231,86_231,FB_0086_FCCS_231.xml,109,130,0.258746,0,0,0,0.171137,0,0.221437,0.200378,0.115783,0.437309,22.5,22.5,0.005,0.005,20,18.75,1.5,3,2,1.5,0,0,1,0,0,0.536983,0.012007,0,0.875,0.229688,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,66.544533,8,8
860232,86_232,FB_0086_FCCS_232.xml,109,130,0.258746,0,0,0,0.171137,0,0.221437,0.200378,0.173674,0.655964,90,90,0.0075,0.0075,80,75,1.125,2.25,1.5,1.125,0,0,1.375,0,0,0.536983,0.012007,0,0.875,0.229688,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,65.20108,8,8
860233,86_233,FB_0086_FCCS_233.xml,109,130,0.258746,0,0,0,0.171137,0,0.221437,0.200378,0.260512,0.983946,90,90,0.01125,0.01125,80,75,0.5625,1.125,0.75,1.125,0,0,1.9375,0,0,0,0.324191,0,0.875,0.229688,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,5.6,44.800003,0.017849,0,0,78.460579,8,8
860311,86_311,FB_0086_FCCS_311.xml,109,130,0.808582,0,0.008086,0,0.171137,0,0.221437,0.200378,0.347349,1.311928,45,45,0.015,0.015,60,56.25,0.15,0.225,0.75,1.35,0,0,0.9,0,0,0.192763,0.012007,0,0.375,0.042187,1.5,0.05625,1.875,1.792969,0,0.045559,0,1.5,12.15,3,17.099998,0.013387,0,0,38.880795,8,8
860312,86_312,FB_0086_FCCS_312.xml,109,130,0.808582,0,0.008086,0,0.171137,0,0.221437,0.200378,0.434186,1.63991,90,90,0.0225,0.0225,79.980003,74.981247,0.15,0.225,0.75,1.0125,0,0,1.2375,0,0,0.192763,0.012007,0,0.499875,0.074963,1.5,0.05625,1.875,1.792969,0,0.045559,0,1.5,12.15,3,17.099998,0.013387,0,0,39.343391,8,8
860313,86_313,FB_0086_FCCS_313.xml,109,130,0.808582,0,0.008086,0,0.171137,0,0.221437,0.200378,0.463277,1.749784,90,90,0.020002,0.020002,79.980003,74.981247,0.19995,0.299925,0.99975,0.50625,0,0,1.74375,0,0,0,0.124073,0,0.499875,0.074963,1.9995,0.09995,2.499375,3.185907,0,0.045559,0,1.5,12.15,3,17.099998,0.013387,0,0,41.400688,8,8
860321,86_321,FB_0086_FCCS_321.xml,109,130,0.517493,0,0,0,0.171137,0,0.221437,0.200378,0.231566,0.874619,22.5,22.5,0.01,0.01,40,37.5,0.1,0.15,0.5,1.2,0,0,0.8,0,0,0.364873,0.012007,0,0.25,0.01875,1,0.025,1.25,0.796875,0,0.020248,0,1,5.4,2,7.6,0.008925,0,0,20.042982,8,8
860322,86_322,FB_0086_FCCS_322.xml,109,130,0.517493,0,0,0,0.171137,0,0.221437,0.200378,0.347349,1.311928,90,90,0.015,0.015,80,75,0.1,0.15,0.5,0.9,0,0,1.1,0,0,0.364873,0.012007,0,0.5,0.075,1,0.025,1.25,0.796875,0,0.020248,0,1,5.4,2,7.6,0.008925,0,0,20.662323,8,8
860323,86_323,FB_0086_FCCS_323.xml,109,130,0.517493,0,0,0,0.171137,0,0.221437,0.200378,0.463016,1.7488,90,90,0.019995,0.019995,80,75,0.066,0.099,0.33,0.45,0,0,1.55,0,0,0,0.224132,0,0.5,0.075,2,0.1,2.5,3.1875,0,0.020248,0,1,5.4,2,7.6,0.008925,0,0,23.647602,8,8
860331,86_331,FB_0086_FCCS_331.xml,109,130,0.258746,0,0,0,0.171137,0,0.221437,0.200378,0.115783,0.437309,9,9,0.005,0.005,20,18.75,0.05,0.075,0.25,0.825,0,0,0.55,0,0,0.536983,0.012007,0,0.125,0.004687,0.5,0.00625,0.625,0.199219,0,0.005062,0,0.5,1.35,1,1.9,0.004462,0,0,7.148183,8,8
860332,86_332,FB_0086_FCCS_332.xml,109,130,0.258746,0,0,0,0.171137,0,0.221437,0.200378,0.173674,0.655964,90,90,0.0075,0.0075,80,75,0.05,0.075,0.25,0.61875,0,0,0.75625,0,0,0.536983,0.012007,0,0.5,0.075,0.5,0.00625,0.625,0.199219,0,0.005062,0,0.5,1.35,1,1.9,0.004462,0,0,7.500042,8,8
860333,86_333,FB_0086_FCCS_333.xml,109,130,0.258746,0,0,0,0.171137,0,0.221437,0.200378,0.46319,1.749456,90,90,0.020002,0.020002,80,75,0.066,0.099,0.33,0.309375,0,0,1.065625,0,0,0,0.324191,0,0.5,0.075,2,0.1,2.5,3.1875,0,0.005062,0,0.5,1.35,1,1.9,0.004462,0,0,12.42227,8,8
860411,86_411,FB_0086_FCCS_411.xml,109,130,0.953049,0,0.032343,0,0.145466,0,0.188221,0.170321,0.416819,1.574313,81,81,0.02,0.02,80,75,0.3,0.45,1.5,1.5,0,0,1,0,0,0.020653,0.012007,0,0.625,0.117188,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.715332,8,8
860412,86_412,FB_0086_FCCS_412.xml,109,130,0.953049,0,0.032343,0,0.145466,0,0.188221,0.170321,0.458501,1.731745,89.099998,89.099998,0.022,0.022,80,75,0.225,0.3375,1.125,1.125,0,0,1.375,0,0,0.020653,0.012007,0,0.625,0.117188,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,5,40,0.017849,0,0,73.95594,8,8
860413,86_413,FB_0086_FCCS_413.xml,109,130,0.953049,0,0.032343,0,0.145466,0,0.188221,0.170321,0.463086,1.749062,89.990997,89.990997,0.022,0.022,80,75,0.05625,0.084375,0.28125,0.5625,0,0,1.9375,0,0,0.020653,0.012007,0,0.5,0.075,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,5,40,0.017849,0,0,72.670036,8,8
860421,86_421,FB_0086_FCCS_421.xml,109,130,0.616679,0,0.032343,0,0.094125,0,0.12179,0.110208,0.324192,1.224466,63,63,0.02,0.02,80,75,0.4,1,2,1.5,0,0,1,0,0,0.020653,0.012007,0,0.75,0.16875,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.620773,8,8
860422,86_422,FB_0086_FCCS_422.xml,109,130,0.616679,0,0.032343,0,0.094125,0,0.12179,0.110208,0.42145,1.591806,81.900002,81.900002,0.024,0.024,80,75,0.3,0.75,1.5,1.125,0,0,1.375,0,0,0.020653,0.012007,0,0.75,0.16875,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,6,48.000004,0.017849,0,0,81.843369,8,8
860423,86_423,FB_0086_FCCS_423.xml,109,130,0.616679,0,0.032343,0,0.094125,0,0.12179,0.110208,0.547885,2.069348,81.900002,100,0.024,0.024,80,75,0.075,0.1875,0.375,0.5625,0,0,1.9375,0,0,0.020653,0.012007,0,0.5625,0.094922,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,6,48.000004,0.017849,0,0,80.461021,8,8
860431,86_431,FB_0086_FCCS_431.xml,109,130,0.280309,0,0.032343,0,0.042784,0,0.055359,0.050094,0.231566,0.874619,45,45,0.02,0.02,80,75,0.6,1,3,1.5,0,0,1,0,0,0.020653,0.012007,0,1,0.3,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.655899,8,8
860432,86_432,FB_0086_FCCS_432.xml,109,130,0.280309,0,0.032343,0,0.042784,0,0.055359,0.050094,0.347349,1.311928,67.5,67.5,0.03,0.03,80,75,0.45,0.75,2.25,1.125,0,0,1.375,0,0,0.020653,0.012007,0,1,0.3,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,8,64,0.017849,0,0,97.678993,8,8
860433,86_433,FB_0086_FCCS_433.xml,109,130,0.280309,0,0.032343,0,0.042784,0,0.055359,0.050094,0.521023,1.967892,67.5,67.5,0.03,0.03,80,75,0.1125,0.1875,0.5625,0.5625,0,0,1.9375,0,0,0.020653,0.012007,0,0.75,0.16875,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,8,64,0.017849,0,0,95.789886,8,8
860511,86_511,FB_0086_FCCS_511.xml,109,130,0.993586,0,0.032343,0.112123,0.171137,0.427842,0.221437,0.200378,0.463132,1.749237,90,90,0.02,0.02,80,75,0.2,0.3,1,1.5,0,0,1,0,0,0.020653,0.012007,0,0.5,0.075,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.571198,8,8
860512,86_512,FB_0086_FCCS_512.xml,109,130,0.935795,0,0.032343,0.162579,0.427842,0.620371,0.121658,0.18236,0.463132,1.749237,90,90,0.02,0.02,80,75,0.22,0.33,1.1,1.5,0,0,1,0,0,0.020653,0.012007,0,0.55,0.09075,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.619148,8,8
860513,86_513,FB_0086_FCCS_513.xml,109,130,0.935795,0,0.032343,0,0.620371,0,0.304145,0.100189,0.463132,1.749237,90,90,0.02,0.02,80,75,0.242,0.363,1.21,1.125,0,0,1.375,0,0,0.020653,0.012007,0,0.49995,0.074985,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.517273,8,8
860521,86_521,FB_0086_FCCS_521.xml,109,130,0.652041,0,0.032343,0.448494,0.171137,1.711368,0.221437,0.200378,0.463132,1.749237,90,90,0.02,0.02,80,75,0.2,0.3,1,1.5,0,0,1,0,0,0.020653,0.012007,0,0.5,0.075,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.571198,8,8
860522,86_522,FB_0086_FCCS_522.xml,109,130,0.586837,0,0.032343,0.515768,1.711368,1.968073,0.121658,0.18236,0.463132,1.749237,90,90,0.025,0.025,80,75,1,2,3,1.5,0,0,1,0,0,0.020653,0.012007,0,0.75,0.16875,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,69.057152,8,8
860523,86_523,FB_0086_FCCS_523.xml,109,130,0.586837,0,0.032343,0,1.968073,0,1.216579,0.100189,0.463132,1.749237,90,90,0.025,0.025,80,75,1.25,2.5,3.75,4,4,4,1.375,0,0,0.020653,0.012007,0,0.50025,0.075075,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4.4,35.200001,0.017849,0,0,86.036346,8,8
860531,86_531,FB_0086_FCCS_531.xml,109,130,0.267371,0,0.032343,0.840926,0.171137,3.208815,0.221437,0.200378,0.463132,1.749237,90,90,0.02,0.02,80,75,0.2,0.3,1,1.5,0,0,1,0,0,0.020653,0.012007,0,0.5,0.075,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,64.571198,8,8
860532,86_532,FB_0086_FCCS_532.xml,109,130,0.240634,0,0.032343,0.868957,3.208815,3.315776,0.121658,0.18236,0.578915,2.186547,90,90,0.028,0.028,80,75,1,2,3,1.5,0,0,1,0,0,0.020653,0.012007,0,1,0.3,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,4,30.400002,0.017849,0,0,69.747498,8,8
860533,86_533,FB_0086_FCCS_533.xml,109,130,0.240634,0,0.032343,0,3.315776,0,2.281086,0.100189,0.578915,2.186547,90,90,0.028,0.028,80,75,1.5,3,4.5,4,4,4,1.375,0,0,0.020653,0.012007,0,0.5,0.075,2,0.1,2.5,3.1875,0,0.080994,0,2,21.599998,5.2,41.600002,0.017849,0,0,94.796417,8,8
870111,87_111,FB_0087_FCCS_111.xml,109,130,6.396211,0,0.015525,0.72449,1.510336,3.277174,1.615383,1.330315,0.125,0.3569,45,45,0.005,0.01,45,45,0.05,0.1,0.25,0.9,0,0,0.45,0,0,0.107569,0.04103,0,0.75,0.253125,1.5,0.028125,1.875,1.6875,0,0.025627,0.5,1.5,18.225,3,18,0.061358,0,0,62.309647,8,8
870112,87_112,FB_0087_FCCS_112.xml,109,130,6.396211,0,0.015525,0,0,0,2.330904,1.330315,0.195313,0.448469,56.25,56.25,0.01,0.02,90,90,0.0625,0.125,0.3125,0.675,0,0,0.675,0,0,0.107569,0.04103,0,0.99975,0.449775,1.5,0.028125,1.875,1.6875,0,0.025627,0.5,1.5,18.225,3,18,0.061358,0,0,61.684296,8,8
870113,87_113,FB_0087_FCCS_113.xml,109,130,6.396211,0,0.015525,0,0,0,0,1.919568,0.5,0.7288,90,90,0.01,0.02,90,90,0.1,0.2,0.5,0.3375,0,0,1.0125,0,0,0.107569,0.04103,0,0.99975,0.449775,1.9995,0.049975,2.499375,2.998501,0,0.025627,0.5,1.5,18.225,3,18,0.061358,0,0,62.160515,8,8
870121,87_121,FB_0087_FCCS_121.xml,109,130,4.181342,0,0.007762,2.89796,1.510336,13.108694,1.615383,1.330315,0.03125,0.176575,22.5,22.5,0.0025,0.005,22.5,22.5,0.025,0.05,0.125,0.75,0,0,0.375,0,0,0.107569,0.019787,0,0.25,0.028125,0.5,0.003125,0.625,0.1875,0,0.000316,0.5,0.5,2.025,1,2,0.040906,0,0,27.510441,8,8
870122,87_122,FB_0087_FCCS_122.xml,109,130,3.763208,0,0.006986,3.332653,15.075,15.075,9.323615,1.330315,0.125,0.3569,90,90,0.01,0.02,90,90,0.03125,0.0625,0.15625,0.5625,0,0,0.5625,0,0,0.107569,0.019787,0,0.5,0.1125,1,0.0125,1.25,0.75,0,0.000316,0.5,0.5,2.025,1,2,0.040906,0,0,36.213936,8,8
870123,87_123,FB_0087_FCCS_123.xml,109,130,3.763208,0,0.006986,0,0,0,0,7.678271,0.5,0.7288,90,90,0.01,0.02,90,90,0.033,0.066,0.165,0.28125,0,0,0.84375,0,0,0.107569,0.019787,0,1,0.45,2,0.05,2.5,3,0,0.000316,0.5,0.5,2.025,1,2,0.040906,0,0,28.277924,8,8
870131,87_131,FB_0087_FCCS_131.xml,109,130,1.638727,0,0.00097,5.433674,1.510336,24.578802,1.615383,1.330315,0.00125,0.035015,4.5,4.5,0.0005,0.001,4.5,4.5,0.005,0.01,0.025,0.5,0,0,0.25,0,0,0.107569,0.003909,0,0.05,0.001125,0.1,0.000125,0.125,0.0075,0,1E-06,0.5,0.1,0.081,0.2,0.08,0.020453,0,0,22.621063,8,8
870132,87_132,FB_0087_FCCS_132.xml,109,130,1.474855,0,0.000873,5.614798,25.398094,25.398094,17.481779,1.330315,0.125,0.3569,90,90,0.01,0.02,90,90,0.0075,0.015,0.0375,0.375,0,0,0.375,0,0,0.107569,0.003909,0,0.5,0.1125,1,0.0125,1.25,0.75,0,1E-06,0.5,0.1,0.081,0.2,0.08,0.020453,0,0,39.846901,8,8
870133,87_133,FB_0087_FCCS_133.xml,109,130,1.474855,0,0.000873,0,0,0,0,14.396758,0.5,0.7288,90,90,0.01,0.02,90,90,0.033,0.066,0.165,0.1875,0,0,0.5625,0,0,0.107569,0.003909,0,1,0.45,2,0.05,2.5,3,0,1E-06,0.5,0.1,0.081,0.2,0.08,0.020453,0,0,24.945835,8,8
870211,87_211,FB_0087_FCCS_211.xml,109,130,5.174928,0,0.004851,0,1.510336,0,1.615383,1.330315,0.375,0.5466,45,45,0.0075,0.015,67.5,67.5,0.5,1,0.625,1,0,0,0.5,0,0,1.990021,0.062537,0,1.25,0.703125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4,32,0.081811,0,0,92.786087,8,8
870212,87_212,FB_0087_FCCS_212.xml,109,130,5.174928,0,0.004851,0,1.510336,0,1.615383,1.330315,0.4125,0.60126,90,90,0.009375,0.01875,89.977501,89.977501,0.375,0.75,0.46875,0.75,0,0,0.75,0,0,1.990021,0.062537,0,1.25,0.703125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4,32,0.081811,0,0,92.352623,8,8
870213,87_213,FB_0087_FCCS_213.xml,109,130,5.174928,0,0.004851,0,1.510336,0,1.615383,1.330315,0.45375,0.661386,90,90,0.011719,0.023438,89.977501,89.977501,0.1875,0.375,0.234375,0.75,0,0,1.125,0,0,0,1.219468,0,1.25,0.703125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4,32,0.081811,0,0,93.196091,8,8
870221,87_221,FB_0087_FCCS_221.xml,109,130,3.277454,0,0,0,1.510336,0,1.615383,1.330315,0.25,0.3644,22.5,22.5,0.005,0.01,45,45,1,2,1,1,0,0,0.5,0,0,3.872473,0.062537,0,1.5,1.0125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4,32,0.081811,0,0,92.227852,8,8
870222,87_222,FB_0087_FCCS_222.xml,109,130,3.277454,0,0,0,1.510336,0,1.615383,1.330315,0.3125,0.4555,90,90,0.0075,0.015,90,90,0.75,1.5,0.75,0.75,0,0,0.75,0,0,3.872473,0.062537,0,1.5,1.0125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4,32,0.081811,0,0,91.388947,8,8
870223,87_223,FB_0087_FCCS_223.xml,109,130,3.277454,0,0,0,1.510336,0,1.615383,1.330315,0.390625,0.569375,90,90,0.01125,0.0225,90,90,0.375,0.75,0.375,0.75,0,0,1.125,0,0,0,2.313863,0,1.5,1.0125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4.8,38.400002,0.081811,0,0,99.11853,8,8
870231,87_231,FB_0087_FCCS_231.xml,109,130,1.638727,0,0,0,1.510336,0,1.615383,1.330315,0.125,0.1822,22.5,22.5,0.0025,0.005,22.5,22.5,1.5,3,1.5,1,0,0,0.5,0,0,5.754926,0.062537,0,1.75,1.378125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4,32,0.081811,0,0,87.296326,8,8
870232,87_232,FB_0087_FCCS_232.xml,109,130,1.638727,0,0,0,1.510336,0,1.615383,1.330315,0.1875,0.2733,90,90,0.00375,0.0075,90,90,1.125,2.25,1.125,0.75,0,0,0.75,0,0,5.754926,0.062537,0,1.75,1.378125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4,32,0.081811,0,0,85.953667,8,8
870233,87_233,FB_0087_FCCS_233.xml,109,130,1.638727,0,0,0,1.510336,0,1.615383,1.330315,0.28125,0.40995,90,90,0.005625,0.01125,90,90,0.5625,1.125,0.5625,0.75,0,0,1.125,0,0,0,3.408257,0,1.75,1.378125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,5.6,44.800003,0.081811,0,0,100.460419,8,8
870311,87_311,FB_0087_FCCS_311.xml,109,130,5.174928,0,0.004851,0,1.510336,0,1.615383,1.330315,0.375,0.5466,45,45,0.0075,0.015,67.5,67.5,0.075,0.15,0.375,0.9,0,0,0.45,0,0,1.990021,0.062537,0,0.75,0.253125,1.5,0.028125,1.875,1.6875,0,0.045559,0.5,1.5,18.225,3,18,0.061358,0,0,61.095821,8,8
870312,87_312,FB_0087_FCCS_312.xml,109,130,5.174928,0,0.004851,0,1.510336,0,1.615383,1.330315,0.46875,0.68325,90,90,0.01125,0.0225,89.977501,89.977501,0.075,0.15,0.375,0.675,0,0,0.675,0,0,1.990021,0.062537,0,0.99975,0.449775,1.5,0.028125,1.875,1.6875,0,0.045559,0.5,1.5,18.225,3,18,0.061358,0,0,61.534122,8,8
870313,87_313,FB_0087_FCCS_313.xml,109,130,5.174928,0,0.004851,0,1.510336,0,1.615383,1.330315,0.500156,0.729028,90,90,0.010001,0.020002,89.977501,89.977501,0.099975,0.19995,0.499875,0.3375,0,0,1.0125,0,0,0,1.219468,0,0.99975,0.449775,1.9995,0.049975,2.499375,2.998501,0,0.045559,0.5,1.5,18.225,3,18,0.061358,0,0,64.297142,8,8
870321,87_321,FB_0087_FCCS_321.xml,109,130,3.277454,0,0,0,1.510336,0,1.615383,1.330315,0.25,0.3644,22.5,22.5,0.005,0.01,45,45,0.05,0.1,0.25,0.8,0,0,0.4,0,0,3.872473,0.062537,0,0.5,0.1125,1,0.0125,1.25,0.75,0,0.020248,0.5,1,8.1,2,8,0.040906,0,0,36.738697,8,8
870322,87_322,FB_0087_FCCS_322.xml,109,130,3.277454,0,0,0,1.510336,0,1.615383,1.330315,0.375,0.5466,90,90,0.0075,0.015,90,90,0.05,0.1,0.25,0.6,0,0,0.6,0,0,3.872473,0.062537,0,1,0.45,1,0.0125,1.25,0.75,0,0.020248,0.5,1,8.1,2,8,0.040906,0,0,37.3909,8,8
870323,87_323,FB_0087_FCCS_323.xml,109,130,3.277454,0,0,0,1.510336,0,1.615383,1.330315,0.499875,0.728618,90,90,0.009998,0.019995,90,90,0.033,0.066,0.165,0.3,0,0,0.9,0,0,0,2.313863,0,1,0.45,2,0.05,2.5,3,0,0.020248,0.5,1,8.1,2,8,0.040906,0,0,42.108112,8,8
870331,87_331,FB_0087_FCCS_331.xml,109,130,1.638727,0,0,0,1.510336,0,1.615383,1.330315,0.125,0.1822,9,9,0.0025,0.005,22.5,22.5,0.025,0.05,0.125,0.55,0,0,0.275,0,0,5.754926,0.062537,0,0.25,0.028125,0.5,0.003125,0.625,0.1875,0,0.005062,0.5,0.5,2.025,1,2,0.020453,0,0,16.099655,8,8
870332,87_332,FB_0087_FCCS_332.xml,109,130,1.638727,0,0,0,1.510336,0,1.615383,1.330315,0.1875,0.2733,90,90,0.00375,0.0075,90,90,0.025,0.05,0.125,0.4125,0,0,0.4125,0,0,5.754926,0.062537,0,1,0.45,0.5,0.003125,0.625,0.1875,0,0.005062,0.5,0.5,2.025,1,2,0.020453,0,0,16.678879,8,8
870333,87_333,FB_0087_FCCS_333.xml,109,130,1.638727,0,0,0,1.510336,0,1.615383,1.330315,0.500063,0.728891,90,90,0.010001,0.020002,90,90,0.033,0.066,0.165,0.20625,0,0,0.61875,0,0,0,3.408257,0,1,0.45,2,0.05,2.5,3,0,0.005062,0.5,0.5,2.025,1,2,0.020453,0,0,23.734882,8,8
870411,87_411,FB_0087_FCCS_411.xml,109,130,6.158165,0,0.019406,0,1.283786,0,1.373075,1.130768,0.45,0.65592,81,81,0.01,0.02,90,90,0.15,0.3,0.75,1,0,0,0.5,0,0,0.107569,0.062537,0,1.25,0.703125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4,32,0.081811,0,0,90.829712,8,8
870412,87_412,FB_0087_FCCS_412.xml,109,130,6.158165,0,0.019406,0,1.283786,0,1.373075,1.130768,0.495,0.721512,89.099998,89.099998,0.011,0.022,90,90,0.1125,0.225,0.5625,0.75,0,0,0.75,0,0,0.107569,0.062537,0,1.25,0.703125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,5,40,0.081811,0,0,98.643311,8,8
870413,87_413,FB_0087_FCCS_413.xml,109,130,6.158165,0,0.019406,0,1.283786,0,1.373075,1.130768,0.49995,0.728728,89.990997,89.990997,0.011,0.022,90,90,0.028125,0.05625,0.140625,0.375,0,0,1.125,0,0,0.107569,0.062537,0,1,0.45,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,5,40,0.081811,0,0,97.727348,8,8
870421,87_421,FB_0087_FCCS_421.xml,109,130,3.984695,0,0.019406,0,0.830685,0,0.888461,0.731673,0.35,0.51016,63,63,0.01,0.02,90,90,0.2,1,2,1,0,0,0.5,0,0,0.107569,0.062537,0,1.5,1.0125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,4,32,0.081811,0,0,86.566414,8,8
870422,87_422,FB_0087_FCCS_422.xml,109,130,3.984695,0,0.019406,0,0.830685,0,0.888461,0.731673,0.455,0.663208,81.900002,81.900002,0.012,0.024,90,90,0.15,0.75,1.5,0.75,0,0,0.75,0,0,0.107569,0.062537,0,1.5,1.0125,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,6,48.000004,0.081811,0,0,102.030464,8,8
870423,87_423,FB_0087_FCCS_423.xml,109,130,3.984695,0,0.019406,0,0.830685,0,0.888461,0.731673,0.5915,0.862171,81.900002,100,0.012,0.024,90,90,0.0375,0.1875,0.375,0.375,0,0,1.125,0,0,0.107569,0.062537,0,1.125,0.569531,2,0.05,2.5,3,0,0.080994,0.5,2,32.400002,6,48.000004,0.081811,0,0,100.122948,8,8
